Region,Hierarchy,Status,Type,Product,Net New ACV Target
AMER,Region,Included,Direct,Core,"$1,000,000"
APAC,Region,Included,Direct,Core,"$200,000"
EMEA,Region,Included,Direct,Core,"$500,000"
JAPAN,Region,Included,Direct,Core,"$400,000"
GLOBAL,Global,Included,Direct,Core,"$2,100,000"
AMER,Region,Included,Channel,Core,"$500,000"
APAC,Region,Included,Channel,Core,"$300,000"
EMEA,Region,Included,Channel,Core,"$500,000"
JAPAN,Region,Included,Channel,Core,"$1,000,000"
GLOBAL,Global,Included,Channel,Core,"$2,300,000"
AMER,Region,Included,Total,Core,"$1,500,000"
APAC,Region,Included,Total,Core,"$500,000"
EMEA,Region,Included,Total,Core,"$1,000,000"
JAPAN,Region,Included,Total,Core,"$1,400,000"
GLOBAL,Global,Included,Total,Core,"$4,400,000"
AMER,Region,Included,Direct,Sign,"$500,000"
APAC,Region,Included,Direct,Sign,"$100,000"
EMEA,Region,Included,Direct,Sign,"$100,000"
JAPAN,Region,Included,Direct,Sign,$0
GLOBAL,Global,Included,Direct,Sign,"$700,000"
AMER,Region,Included,Channel,Sign,$0
APAC,Region,Included,Channel,Sign,$0
EMEA,Region,Included,Channel,Sign,$0
JAPAN,Region,Included,Channel,Sign,$0
GLOBAL,Global,Included,Channel,Sign,$0
AMER,Region,Included,Total,Sign,"$500,000"
APAC,Region,Included,Total,Sign,"$100,000"
EMEA,Region,Included,Total,Sign,"$100,000"
JAPAN,Region,Included,Total,Sign,$0
GLOBAL,Global,Included,Total,Sign,"$700,000"
AMER,Region,Included,Direct,Send,"$100,000"
APAC,Region,Included,Direct,Send,$0
EMEA,Region,Included,Direct,Send,$0
JAPAN,Region,Included,Direct,Send,$0
GLOBAL,Global,Included,Direct,Send,"$100,000"
AMER,Region,Included,Channel,Send,$0
APAC,Region,Included,Channel,Send,$0
EMEA,Region,Included,Channel,Send,$0
JAPAN,Region,Included,Channel,Send,$0
GLOBAL,Global,Included,Channel,Send,$0
AMER,Region,Included,Total,Send,"$100,000"
APAC,Region,Included,Total,Send,$0
EMEA,Region,Included,Total,Send,$0
JAPAN,Region,Included,Total,Send,$0
GLOBAL,Global,Included,Total,Send,"$100,000"
AMER,Region,Included,Direct,Dash,"$500,000"
APAC,Region,Included,Direct,Dash,"$100,000"
EMEA,Region,Included,Direct,Dash,"$200,000"
JAPAN,Region,Included,Direct,Dash,"$100,000"
GLOBAL,Global,Included,Direct,Dash,"$900,000"
AMER,Region,Included,Channel,Dash,$0
APAC,Region,Included,Channel,Dash,$0
EMEA,Region,Included,Channel,Dash,$0
JAPAN,Region,Included,Channel,Dash,$0
GLOBAL,Global,Included,Channel,Dash,$0
AMER,Region,Included,Total,Dash,$0
APAC,Region,Included,Total,Dash,$0
EMEA,Region,Included,Total,Dash,$0
JAPAN,Region,Included,Total,Dash,$0
GLOBAL,Global,Included,Total,Dash,$0
AMER,Region,Included,Direct,Total,"$1,600,000"
APAC,Region,Included,Direct,Total,"$300,000"
EMEA,Region,Included,Direct,Total,"$600,000"
JAPAN,Region,Included,Direct,Total,"$400,000"
GLOBAL,Global,Included,Direct,Total,"$2,900,000"
AMER,Region,Included,Channel,Total,"$500,000"
APAC,Region,Included,Channel,Total,"$300,000"
EMEA,Region,Included,Channel,Total,"$500,000"
JAPAN,Region,Included,Channel,Total,"$1,000,000"
GLOBAL,Global,Included,Channel,Total,"$2,300,000"
AMER,Region,Included,Total,Total,"$2,100,000"
APAC,Region,Included,Total,Total,"$600,000"
EMEA,Region,Included,Total,Total,"$1,100,000"
JAPAN,Region,Included,Total,Total,"$1,400,000"
GLOBAL,Global,Included,Total,Total,"$5,200,000"